bin_name,matched_box_name,depth,X_cog,Y_cog,Z_cog,orientation,layer
1,#22,36,47.5,28.5,36,0.0,0
1,#18A,36,132.5,28.5,36,0.0,0
1,#33,36,193.5,46.5,36,1.0,0
1,#29,36,67.5,84.5,36,0.0,0
1,#35,36,104.5,160.5,36,0.0,0
1,#18A,36,37.5,28.5,72,0.0,1
1,#7A,40,132.5,28.5,76,0.0,1
1,#33,36,193.5,46.5,72,1.0,1
1,#26,40,74.5,84.5,76,0.0,1
1,#35,36,104.5,160.5,72,0.0,1
1,#7A,40,37.5,28.5,112,0.0,2
1,#33,36,193.5,46.5,108,1.0,2
1,#9,46,45.5,146.5,118,0.0,2
1,#20,26,146.5,148.5,98,0.0,2
1,#16A,32,132.5,28.5,108,0.0,2
1,#29,36,67.5,84.5,112,0.0,2
1,#20,26,146.5,148.5,124,0.0,3
1,#18A,36,132.5,28.5,144,0.0,3
1,#7A,40,37.5,28.5,152,0.0,3
1,#26,40,74.5,84.5,152,0.0,3
1,#9,46,45.5,146.5,164,0.0,3
1,#20,26,150.5,148.5,150,0.0,4
1,#7A,40,132.5,28.5,184,0.0,4
1,#18A,36,37.5,28.5,188,0.0,4
1,#26,40,74.5,84.5,192,0.0,4
1,#22,36,47.5,140.5,200,0.0,4
1,#13,28,153.5,139.5,178,0.0,5
1,#16A,32,132.5,28.5,216,0.0,5
1,#16A,32,37.5,28.5,220,0.0,5
1,#29,36,67.5,84.5,228,0.0,5
1,#22,36,47.5,140.5,236,0.0,5
1,#13,28,153.5,139.5,206,0.0,6
