bin_name,matched_box_name,pos_x,pos_y,pos_z
1,#20,53.0,34.0,26
1,#9,43.0,32.0,46
1,#35,102.0,46.0,36
1,#13,56.0,25.0,28
1,#20,53.0,34.0,26
1,#29,65.0,25.0,36
1,#29,65.0,25.0,36
1,#22,45.0,26.0,36
1,#16A,35.0,26.0,32
1,#13,56.0,25.0,28
1,#26,72.0,25.0,40
1,#26,72.0,25.0,40
1,#33,44.0,21.0,36
1,#18A,35.0,26.0,36
1,#9,43.0,32.0,46
1,#13,56.0,25.0,28
1,#22,45.0,26.0,36
1,#33,44.0,21.0,36
1,#7A,35.0,26.0,40
1,#16A,35.0,26.0,32
1,#33,44.0,21.0,36
1,#22,45.0,26.0,36
1,#7A,35.0,26.0,40
1,#16A,35.0,26.0,32
1,#33,44.0,21.0,36
1,#18A,35.0,26.0,36
